"ID","Member_Country","Measure","Table","Value","Method","Species","Year","Unit"
1,"American_Samoa","Catches by Method","20-2",30,"Long Line","Albacore","2021","Tonnes"
2,"American_Samoa","Catches by Method","20-2",8,"Long Line","Albacore","2020","Tonnes"
3,"American_Samoa","Catches by Method","20-2",12,"Long Line","Albacore","2019","Tonnes"
4,"American_Samoa","Catches by Method","20-2",11,"Long Line","Albacore","2018","Tonnes"
5,"American_Samoa","Catches by Method","20-2",17,"Long Line","Albacore","2017","Tonnes"
6,"American_Samoa","Catches by Method","20-2",0,"Long Line","Albacore","2021","Tonnes"
7,"American_Samoa","Catches by Method","20-2",0,"Long Line","Albacore","2020","Tonnes"
8,"American_Samoa","Catches by Method","20-2",0,"Long Line","Albacore","2019","Tonnes"
9,"American_Samoa","Catches by Method","20-2",0,"Long Line","Albacore","2018","Tonnes"
10,"American_Samoa","Catches by Method","20-2",0,"Long Line","Albacore","2017","Tonnes"
11,"American_Samoa","Catches by Method","20-2",404,"Long Line","Bigeye","2021","Tonnes"
12,"American_Samoa","Catches by Method","20-2",0,"Long Line","Bigeye","2020","Tonnes"
13,"American_Samoa","Catches by Method","20-2",0,"Long Line","Bigeye","2019","Tonnes"
14,"American_Samoa","Catches by Method","20-2",798,"Long Line","Bigeye","2018","Tonnes"
15,"American_Samoa","Catches by Method","20-2",0,"Long Line","Bigeye","2017","Tonnes"
16,"American_Samoa","Catches by Method","20-2",24,"Long Line","Number of vessels","2021","Tonnes"
17,"American_Samoa","Catches by Method","20-2",122,"Long Line","Number of vessels","2020","Tonnes"
18,"American_Samoa","Catches by Method","20-2",127,"Long Line","Number of vessels","2019","Tonnes"
19,"American_Samoa","Catches by Method","20-2",113,"Long Line","Number of vessels","2018","Tonnes"
20,"American_Samoa","Catches by Method","20-2",118,"Long Line","Number of vessels","2017","Tonnes"
21,"American_Samoa","Catches by Method","20-2",0,"Long Line","Pacific Bluefin","2021","Tonnes"
22,"American_Samoa","Catches by Method","20-2",0,"Long Line","Pacific Bluefin","2020","Tonnes"
23,"American_Samoa","Catches by Method","20-2",0,"Long Line","Pacific Bluefin","2019","Tonnes"
