"ID","Member_Country","Measure","Table","Value","Dimension","Dimension_Value","Year","Unit"
1,"American_Samoa","Fish Exports","20-6",11931,"Aggregate Commodity","Fish meal","2015","US$"
2,"American_Samoa","Fish Exports","20-6",365587,"Aggregate Commodity","Canned tuna","2015","US$"
3,"American_Samoa","Fish Exports","20-6",0,"Aggregate Commodity","Pet food","2015","US$"
4,"American_Samoa","Fish Exports","20-6",1014,"Aggregate Commodity","Other domestic exports","2015","US$"
5,"American_Samoa","Fish Exports","20-6",378532,"Aggregate Commodity","Total domestic exports","2015","US$"
6,"American_Samoa","Fish Exports","20-6",3400,"Aggregate Commodity","Fish meal","2016","US$"
7,"American_Samoa","Fish Exports","20-6",371214,"Aggregate Commodity","Canned tuna","2016","US$"
8,"American_Samoa","Fish Exports","20-6",0,"Aggregate Commodity","Pet food","2016","US$"
9,"American_Samoa","Fish Exports","20-6",10538,"Aggregate Commodity","Other domestic exports","2016","US$"
10,"American_Samoa","Fish Exports","20-6",385152,"Aggregate Commodity","Total domestic exports","2016","US$"
11,"American_Samoa","Fish Exports","20-6",0,"Aggregate Commodity","Fish meal","2017","US$"
12,"American_Samoa","Fish Exports","20-6",307732,"Aggregate Commodity","Canned tuna","2017","US$"
13,"American_Samoa","Fish Exports","20-6",0,"Aggregate Commodity","Pet food","2017","US$"
14,"American_Samoa","Fish Exports","20-6",1489,"Aggregate Commodity","Other domestic exports","2017","US$"
15,"American_Samoa","Fish Exports","20-6",309221,"Aggregate Commodity","Total domestic exports","2017","US$"
16,"American_Samoa","Fish Exports","20-6",0,"Aggregate Commodity","Fish meal","2018","US$"
17,"American_Samoa","Fish Exports","20-6",374919,"Aggregate Commodity","Canned tuna","2018","US$"
18,"American_Samoa","Fish Exports","20-6",0,"Aggregate Commodity","Pet food","2018","US$"
19,"American_Samoa","Fish Exports","20-6",2394,"Aggregate Commodity","Other domestic exports","2018","US$"
20,"American_Samoa","Fish Exports","20-6",377313,"Aggregate Commodity","Total domestic exports","2018","US$"
21,"American_Samoa","Fish Exports","20-6",0,"Aggregate Commodity","Fish meal","2019","US$"
22,"American_Samoa","Fish Exports","20-6",351470,"Aggregate Commodity","Canned tuna","2019","US$"
23,"American_Samoa","Fish Exports","20-6",0,"Aggregate Commodity","Pet food","2019","US$"
24,"American_Samoa","Fish Exports","20-6",1745,"Aggregate Commodity","Other domestic exports","2019","US$"
25,"American_Samoa","Fish Exports","20-6",353215,"Aggregate Commodity","Total domestic exports","2019","US$"
26,"Cook_Islands","Fish Exports","6-8",19,"Aggregate Commodity","Live fish","2013","NZ$"
27,"Cook_Islands","Fish Exports","6-8",91,"Aggregate Commodity","Live fish","2014","NZ$"
28,"Cook_Islands","Fish Exports","6-8",49,"Aggregate Commodity","Live fish","2015","NZ$"
