"Fishery","Obs_Value","Measure","Unit","Freq","Time_Period","PICT"
"Coastal Commercial",15,"Volume","Tonnes","A",2021,"American_Samoa"
"Coastal Subsistence",100,"Volume","Tonnes","A",2021,"American_Samoa"
"Offshore Locally-based",994,"Volume","Tonnes","A",2021,"American_Samoa"
"Offshore Foreign-based",0,"Volume","Tonnes","A",2021,"American_Samoa"
"Freshwater",1,"Volume","Tonnes","A",2021,"American_Samoa"
"Aquaculture",10,"Volume","Tonnes","A",2021,"American_Samoa"
"Coastal Commercial",105000,"Value","US$","A",2021,"American_Samoa"
"Coastal Subsistence",490000,"Value","US$","A",2021,"American_Samoa"
"Offshore Locally-based",3000000,"Value","US$","A",2021,"American_Samoa"
"Offshore Foreign-based",0,"Value","US$","A",2021,"American_Samoa"
"Freshwater",4900,"Value","US$","A",2021,"American_Samoa"
"Aquaculture",49000,"Value","US$","A",2021,"American_Samoa"
"Coastal Commercial",150,"Volume","Tonnes","A",2021,"Cook_Islands"
"Coastal Subsistence",280,"Volume","Tonnes","A",2021,"Cook_Islands"
"Offshore Locally-based",100,"Volume","Tonnes","A",2021,"Cook_Islands"
"Offshore Foreign-based",4621,"Volume","Tonnes","A",2021,"Cook_Islands"
"Freshwater",81500,"Volume","Pieces","A",2021,"Cook_Islands"
"Coastal Commercial",1600000,"Value","NZ$","A",2021,"Cook_Islands"
"Coastal Subsistence",2300000,"Value","NZ$","A",2021,"Cook_Islands"
"Offshore Locally-based",2500000,"Value","NZ$","A",2021,"Cook_Islands"
"Offshore Foreign-based",15700000,"Value","NZ$","A",2021,"Cook_Islands"
"Freshwater",41000,"Value","NZ$","A",2021,"Cook_Islands"
"Aquaculture",330500,"Value","NZ$","A",2021,"Cook_Islands"
"Coastal Commercial",11700,"Volume","Tonnes","A",2021,"Fiji"
"Coastal Subsistence",18400,"Volume","Tonnes","A",2021,"Fiji"
"Offshore Locally-based",10828,"Volume","Tonnes","A",2021,"Fiji"
"Offshore Foreign-based",0,"Volume","Tonnes","A",2021,"Fiji"
"Freshwater",3700,"Volume","Tonnes","A",2021,"Fiji"
"Aquaculture",351,"Volume","Tonnes","A",2021,"Fiji"
"Freshwater",20000,"Volume","Pieces","A",2021,"Fiji"
"Coastal Commercial",58000000,"Value","F$","A",2021,"Fiji"
"Coastal Subsistence",80000000,"Value","F$","A",2021,"Fiji"
"Offshore Locally-based",84600000,"Value","F$","A",2021,"Fiji"
"Offshore Foreign-based",0,"Value","F$","A",2021,"Fiji"
"Freshwater",7400000,"Value","F$","A",2021,"Fiji"
"Aquaculture",6014000,"Value","F$","A",2021,"Fiji"
"Coastal Commercial",3565,"Volume","Tonnes","A",2021,"French_Polynesia"
"Coastal Subsistence",2350,"Volume","Tonnes","A",2021,"French_Polynesia"
"Offshore Locally-based",6405,"Volume","Tonnes","A",2021,"French_Polynesia"
"Offshore Foreign-based",0,"Volume","Tonnes","A",2021,"French_Polynesia"
"Freshwater",100,"Volume","Tonnes","A",2021,"French_Polynesia"
"Aquaculture",1542,"Volume","Tonnes","A",2021,"French_Polynesia"
"Freshwater",8571012,"Volume","Pieces","A",2021,"French_Polynesia"
"Coastal Commercial",2198100000,"Value","XPF","A",2021,"French_Polynesia"
"Coastal Subsistence",1014270546,"Value","XPF","A",2021,"French_Polynesia"
"Offshore Locally-based",4434400000,"Value","XPF","A",2021,"French_Polynesia"
"Offshore Foreign-based",0,"Value","XPF","A",2021,"French_Polynesia"
"Freshwater",43800000,"Value","XPF","A",2021,"French_Polynesia"
"Aquaculture",5846503000,"Value","XPF","A",2021,"French_Polynesia"
"Coastal Commercial",1600,"Volume","Tonnes","A",2021,"Federated_States_of_Micronesia"
"Coastal Subsistence",3400,"Volume","Tonnes","A",2021,"Federated_States_of_Micronesia"
"Offshore Locally-based",153578,"Volume","Tonnes","A",2021,"Federated_States_of_Micronesia"
"Offshore Foreign-based",92899,"Volume","Tonnes","A",2021,"Federated_States_of_Micronesia"
"Freshwater",1,"Volume","Tonnes","A",2021,"Federated_States_of_Micronesia"
"Aquaculture",0,"Volume","Tonnes","A",2021,"Federated_States_of_Micronesia"
"Freshwater",65000,"Volume","Pieces","A",2021,"Federated_States_of_Micronesia"
"Coastal Commercial",7000000,"Value","US$","A",2021,"Federated_States_of_Micronesia"
"Coastal Subsistence",10500000,"Value","US$","A",2021,"Federated_States_of_Micronesia"
"Offshore Locally-based",205600000,"Value","US$","A",2021,"Federated_States_of_Micronesia"
"Offshore Foreign-based",121100000,"Value","US$","A",2021,"Federated_States_of_Micronesia"
"Freshwater",8000,"Value","US$","A",2021,"Federated_States_of_Micronesia"
"Aquaculture",325000,"Value","US$","A",2021,"Federated_States_of_Micronesia"
"Coastal Commercial",25.7,"Volume","Tonnes","A",2021,"Guam"
"Coastal Subsistence",30,"Volume","Tonnes","A",2021,"Guam"
"Offshore Locally-based",0,"Volume","Tonnes","A",2021,"Guam"
"Offshore Foreign-based",0,"Volume","Tonnes","A",2021,"Guam"
"Freshwater",3,"Volume","Tonnes","A",2021,"Guam"
"Aquaculture",100,"Volume","Tonnes","A",2021,"Guam"
"Coastal Commercial",150959,"Value","US$","A",2021,"Guam"
"Coastal Subsistence",176400,"Value","US$","A",2021,"Guam"
