"Country","Table","ID","BeneFish_Table_Name","In_All_Tables","Standardised_Table_Name","In_Captured"
"American_Samoa","'20-2",19,"Catches by American Samoa longline vessels",1,"Catches by Method","Captured"
"Cook_Islands","'6-2",9,"Foreign-based offshore catches",1,"Catches by Method","Captured"
"Cook_Islands","'6-1",2,"Small-scale trolling for tuna",1,"Catches by Method","Captured"
"Federated_States_of_Micronesia","'7-3",9,"Catches by FSM longliners (t)",1,"Catches by Method","Captured"
"Federated_States_of_Micronesia","'7-2",2,"Catches by FSM purse seiners (t)",1,"Catches by Method","Captured"
"Fiji","'8-2",2,"Volumes and values of the catch of Fiji’s longline fleet",1,"Catches by Method","Captured"
"French_Polynesia","'21-1",2,"2021 Catch and value of bonitier and poti marara fleets",1,"Catches by Method","Captured"
"French_Polynesia","'21-4",31,"Catches of the locally based longliners 2017–2021 (t)",1,"Catches by Method","Captured"
"Palau","'13-3",21,"Catches by foreign-based longliners in the Palau EEZ (t)",1,"Catches by Method","Captured"
"Palau","'13-4",28,"Catches by foreign-based purse seiners in the Palau EEZ (t)",1,"Catches by Method","Captured"
"Papua_New_Guinea","'14-1",NA,NA,NA,"Catches by Method","Captured"
"Papua_New_Guinea","'14-2",NA,NA,NA,"Catches by Method","Captured"
"Papua_New_Guinea","'14-3",NA,NA,NA,"Catches by Method","Captured"
"Tokelau","'26-3",21,"Recent annual catches by the foreign fleets in the Tokelau EEZ",1,"Catches by Method","Captured"
"Fiji","'8-14",70," Fishery product consumption at PROCFish sites",1,"Domestic Fish Consumption","Captured"
"Nauru","'11-11",103,"Consumption of fishery products on Nauru in 2019 according to the Nauru Bureau of Statistics",1,"Domestic Fish Consumption","Captured"
"Solomon_Islands","'16-16",132,"Mean daily per capita consumption of aquatic foods in the Solomon Islands",1,"Domestic Fish Consumption","Captured"
"Vanuatu","'19-7",68,"Mean daily per capita consumption of aquatic foods in Vanuatu",1,"Domestic Fish Consumption","Captured"
"Wallis_and_Futuna","'27-7",84,"Frequency of consuming fishery products in 2020",1,"Domestic Fish Consumption","Captured"
"American_Samoa","'20-4",41,"Estimates by the Benefish studies of annual fisheries harvests",1,"Estimates by the Benefish studies of annual fisheries harvests","Captured"
"Cook_Islands","'6-4",14,"Estimates by the Benefish studies of annual fisheries/aquaculture harvests",1,"Estimates by the Benefish studies of annual fisheries harvests","Captured"
"Federated_States_of_Micronesia","'7-6",26,"Estimates by the Benefish studies of annual fisheries/aquaculture harvests",1,"Estimates by the Benefish studies of annual fisheries harvests","Captured"
"Fiji","'8-5",14,"Estimates by the Benefish studies of annual fisheries/aquaculture harvests",1,"Estimates by the Benefish studies of annual fisheries harvests","Captured"
"French_Polynesia","'21-7",66,"Estimates by the Benefish studies of annual fisheries/aquaculture harvests",1,"Estimates by the Benefish studies of annual fisheries harvests","Captured"
"Guam","'22-4",31,"Estimates by the Benefish studies of annual fisheries/aquaculture harvests",1,"Estimates by the Benefish studies of annual fisheries harvests","Captured"
"International_Waters","'28-2",2,"Volume of catches in international waters",1,"Estimates by the Benefish studies of annual fisheries harvests","Captured"
"Kiribati","'9-4",23,"Estimates by the Benefish studies of annual fisheries/aquaculture harvests",1,"Estimates by the Benefish studies of annual fisheries harvests","Captured"
"Marshall_Islands","'10-5",25,"Estimates by the Benefish studies of annual fisheries/aquaculture harvests",1,"Estimates by the Benefish studies of annual fisheries harvests","Captured"
"Nauru","'11-6",45,"Estimates by the Benefish studies of annual fisheries/aquaculture harvests",1,"Estimates by the Benefish studies of annual fisheries harvests","Captured"
"New_Caledonia","'23-5",42,"Estimates by the Benefish studies of annual fisheries/aquaculture harvests",1,"Estimates by the Benefish studies of annual fisheries harvests","Captured"
"Niue","'12-2",11,"Estimates by the Benefish studies of annual fisheries/aquaculture harvests",1,"Estimates by the Benefish studies of annual fisheries harvests","Captured"
"Northern_Marianas_Islands","'24-4",31,"Estimates by the Benefish studies of annual fisheries/aquaculture harvests",1,"Estimates by the Benefish studies of annual fisheries harvests","Captured"
"Palau","'13-6",44,"Estimates by the Benefish studies of annual fisheries/aquaculture harvests",1,"Estimates by the Benefish studies of annual fisheries harvests","Captured"
"Papua_New_Guinea","'14-5",NA,NA,NA,"Estimates by the Benefish studies of annual fisheries harvests","Captured"
"Pitcairn_Islands","'25-2",12,"Results of the Benefish studies for Pitcairn",1,"Estimates by the Benefish studies of annual fisheries harvests","Captured"
"Samoa","'15-3",20,"Estimates by the Benefish studies of annual fisheries/aquaculture harvests",1,"Estimates by the Benefish studies of annual fisheries harvests","Captured"
"Solomon_Islands","'16-6",33,"Estimates by the Benefish studies of annual fisheries/aquaculture harvests",1,"Estimates by the Benefish studies of annual fisheries harvests","Captured"
"Tokelau","'26-5",47,"Estimates by the Benefish studies of annual fisheries/aquaculture harvests",1,"Estimates by the Benefish studies of annual fisheries harvests","Captured"
"Tonga","'17-3",20,"Estimates by the Benefish studies of annual fisheries/aquaculture harvests",1,"Estimates by the Benefish studies of annual fisheries harvests","Captured"
"Tuvalu","'18-3",18,"Estimates by the Benefish studies of annual fisheries/aquaculture harvests",1,"Estimates by the Benefish studies of annual fisheries harvests","Captured"
"Vanuatu","'19-2",13,"Estimates by the Benefish studies of annual fisheries/aquaculture harvests",1,"Estimates by the Benefish studies of annual fisheries harvests","Captured"
"Wallis_and_Futuna","'27-5",47,"Estimates by the Benefish studies of annual fisheries/aquaculture harvests",1,"Estimates by the Benefish studies of annual fisheries harvests","Captured"
"American_Samoa","'20-6",78,"Value of fishery product exports",1,"Fish Exports","Captured"
"Cook_Islands","'6-8",61,"Exports of fishery production",1,"Fish Exports","Captured"
"Federated_States_of_Micronesia","'7-9",65,"Fishery exports and total exports of FSM",1,"Fish Exports","Captured"
"Fiji","'8-10",56,"Fish Exports",1,"Fish Exports","Captured"
"French_Polynesia","'21-10",119,"Detailed information on the pearl exports of French Polynesia is given the DRM Statistical Bulletin ",1,"Fish Exports","Captured"
"French_Polynesia","'21-9",104,"Non-pearl fishery exports of French Polynesia",1,"Fish Exports","Captured"
"Kiribati","'9-7",67,"Fishery exports of Kiribati (thousands of A$)",1,"Fish Exports","Captured"
