"ID","Member_Country","Measure","Table","Value","Dimension","Dimension_Value","Metric","Year","Unit"
1,"Fiji","Domestic Fish Consumption","8-14",74,"Location","Dromuna","Fresh fish consumption","2021","Kgs per capital per annum"
2,"Fiji","Domestic Fish Consumption","8-14",68,"Location","Muaivuso","Fresh fish consumption","2021","Kgs per capital per annum"
3,"Fiji","Domestic Fish Consumption","8-14",81,"Location","Mali","Fresh fish consumption","2021","Kgs per capital per annum"
4,"Fiji","Domestic Fish Consumption","8-14",73,"Location","Lakeba","Fresh fish consumption","2021","Kgs per capital per annum"
5,"Fiji","Domestic Fish Consumption","8-14",4.4,"Location","Dromuna","Invertebrate consumption","2021","Kgs per capital per annum"
6,"Fiji","Domestic Fish Consumption","8-14",10,"Location","Muaivuso","Invertebrate consumption","2021","Kgs per capital per annum"
7,"Fiji","Domestic Fish Consumption","8-14",13.1,"Location","Mali","Invertebrate consumption","2021","Kgs per capital per annum"
8,"Fiji","Domestic Fish Consumption","8-14",10.5,"Location","Lakeba","Invertebrate consumption","2021","Kgs per capital per annum"
9,"Fiji","Domestic Fish Consumption","8-14",2.9,"Location","Dromuna","Canned fish consumption","2021","Kgs per capital per annum"
10,"Fiji","Domestic Fish Consumption","8-14",3,"Location","Muaivuso","Canned fish consumption","2021","Kgs per capital per annum"
11,"Fiji","Domestic Fish Consumption","8-14",1.8,"Location","Mali","Canned fish consumption","2021","Kgs per capital per annum"
12,"Fiji","Domestic Fish Consumption","8-14",1.8,"Location","Lakeba","Canned fish consumption","2021","Kgs per capital per annum"
13,"Nauru","Domestic Fish Consumption","11-11",121,"Type of fish consumed","LOCAL: Reef fish (trevally, parrot, emperor, snapper, surgeon etc.; fresh or frozen)","Number of households reported eating the fish","2021","Number of Households"
14,"Nauru","Domestic Fish Consumption","11-11",87,"Type of fish consumed","LOCAL: Pelagic fish and bottom fish (tuna, wahoo, mahi mahi, shark, snapper etc.; locally produced caught)","Number of households reported eating the fish","2021","Number of Households"
15,"Nauru","Domestic Fish Consumption","11-11",21,"Type of fish consumed","LOCAL: Other seafood (e.g. dried or smoked fish; locally produced)","Number of households reported eating the fish","2021","Number of Households"
16,"Nauru","Domestic Fish Consumption","11-11",19,"Type of fish consumed","LOCAL: Invertebrates (crabs, octopus, clams etc.; locally produced)","Number of households reported eating the fish","2021","Number of Households"
17,"Nauru","Domestic Fish Consumption","11-11",54,"Type of fish consumed","IMPORTED: Canned/tinned fish (tuna, mackerel, sardine etc.; imported)","Number of households reported eating the fish","2021","Number of Households"
18,"Nauru","Domestic Fish Consumption","11-11",22,"Type of fish consumed","IMPORTED: Frozen seafood (frozen fish, frozen seafood; produced overseas)","Number of households reported eating the fish","2021","Number of Households"
19,"Solomon_Islands","Domestic Fish Consumption","16-16",53.2,"Type of fish consumed","Pelagic fish","National","2021","Mean daily grams per capita"
20,"Solomon_Islands","Domestic Fish Consumption","16-16",97.5,"Type of fish consumed","Reef fish","National","2021","Mean daily grams per capita"
21,"Solomon_Islands","Domestic Fish Consumption","16-16",13.5,"Type of fish consumed","Canned fish","National","2021","Mean daily grams per capita"
22,"Solomon_Islands","Domestic Fish Consumption","16-16",30.7,"Type of fish consumed","Shellfish","National","2021","Mean daily grams per capita"
23,"Solomon_Islands","Domestic Fish Consumption","16-16",6.3,"Type of fish consumed","Mixed fresh/frozen fish","National","2021","Mean daily grams per capita"
24,"Solomon_Islands","Domestic Fish Consumption","16-16",56.1,"Type of fish consumed","Pelagic fish","Rural","2021","Mean daily grams per capita"
25,"Solomon_Islands","Domestic Fish Consumption","16-16",116.1,"Type of fish consumed","Reef fish","Rural","2021","Mean daily grams per capita"
26,"Solomon_Islands","Domestic Fish Consumption","16-16",9.2,"Type of fish consumed","Canned fish","Rural","2021","Mean daily grams per capita"
27,"Solomon_Islands","Domestic Fish Consumption","16-16",39,"Type of fish consumed","Shellfish","Rural","2021","Mean daily grams per capita"
28,"Solomon_Islands","Domestic Fish Consumption","16-16",8.3,"Type of fish consumed","Mixed fresh/frozen fish","Rural","2021","Mean daily grams per capita"
29,"Solomon_Islands","Domestic Fish Consumption","16-16",45.8,"Type of fish consumed","Pelagic fish","Urban","2021","Mean daily grams per capita"
30,"Solomon_Islands","Domestic Fish Consumption","16-16",50.9,"Type of fish consumed","Reef fish","Urban","2021","Mean daily grams per capita"
31,"Solomon_Islands","Domestic Fish Consumption","16-16",24.3,"Type of fish consumed","Canned fish","Urban","2021","Mean daily grams per capita"
32,"Solomon_Islands","Domestic Fish Consumption","16-16",9.7,"Type of fish consumed","Shellfish","Urban","2021","Mean daily grams per capita"
33,"Solomon_Islands","Domestic Fish Consumption","16-16",1.2,"Type of fish consumed","Mixed fresh/frozen fish","Urban","2021","Mean daily grams per capita"
34,"Vanuatu","Domestic Fish Consumption","19-7",14.4,"Type of fish consumed","Pelagic fish","National","2021","Mean daily grams per capita"
35,"Vanuatu","Domestic Fish Consumption","19-7",7.2,"Type of fish consumed","Reef fish","National","2021","Mean daily grams per capita"
36,"Vanuatu","Domestic Fish Consumption","19-7",14.1,"Type of fish consumed","Canned fish","National","2021","Mean daily grams per capita"
37,"Vanuatu","Domestic Fish Consumption","19-7",1.6,"Type of fish consumed","Shellfish","National","2021","Mean daily grams per capita"
38,"Vanuatu","Domestic Fish Consumption","19-7",1.4,"Type of fish consumed","Mixed fresh/frozen fish","National","2021","Mean daily grams per capita"
39,"Vanuatu","Domestic Fish Consumption","19-7",18,"Type of fish consumed","Pelagic fish","Rural","2021","Mean daily grams per capita"
40,"Vanuatu","Domestic Fish Consumption","19-7",7.6,"Type of fish consumed","Reef fish","Rural","2021","Mean daily grams per capita"
41,"Vanuatu","Domestic Fish Consumption","19-7",13.3,"Type of fish consumed","Canned fish","Rural","2021","Mean daily grams per capita"
42,"Vanuatu","Domestic Fish Consumption","19-7",2,"Type of fish consumed","Shellfish","Rural","2021","Mean daily grams per capita"
43,"Vanuatu","Domestic Fish Consumption","19-7",1.7,"Type of fish consumed","Mixed fresh/frozen fish","Rural","2021","Mean daily grams per capita"
44,"Vanuatu","Domestic Fish Consumption","19-7",4.4,"Type of fish consumed","Pelagic fish","Urban","2021","Mean daily grams per capita"
45,"Vanuatu","Domestic Fish Consumption","19-7",6.1,"Type of fish consumed","Reef fish","Urban","2021","Mean daily grams per capita"
46,"Vanuatu","Domestic Fish Consumption","19-7",16.3,"Type of fish consumed","Canned fish","Urban","2021","Mean daily grams per capita"
47,"Vanuatu","Domestic Fish Consumption","19-7",0.44,"Type of fish consumed","Shellfish","Urban","2021","Mean daily grams per capita"
48,"Vanuatu","Domestic Fish Consumption","19-7",0.58,"Type of fish consumed","Mixed fresh/frozen fish","Urban","2021","Mean daily grams per capita"
49,"Wallis_and_Futuna","Domestic Fish Consumption","27-7",22,"Type of fish consumed","Other fish","MISSING","2021","Percentage of households that reported consuming"
50,"Wallis_and_Futuna","Domestic Fish Consumption","27-7",20,"Type of fish consumed","Lagoon fish","MISSING","2021","Percentage of households that reported consuming"
51,"Wallis_and_Futuna","Domestic Fish Consumption","27-7",3,"Type of fish consumed","Shrimp","MISSING","2021","Percentage of households that reported consuming"
52,"Wallis_and_Futuna","Domestic Fish Consumption","27-7",2,"Type of fish consumed","Coconut crab","MISSING","2021","Percentage of households that reported consuming"
53,"Wallis_and_Futuna","Domestic Fish Consumption","27-7",2,"Type of fish consumed","Mussels","MISSING","2021","Percentage of households that reported consuming"
54,"Wallis_and_Futuna","Domestic Fish Consumption","27-7",1,"Type of fish consumed","Canned fish","MISSING","2021","Percentage of households that reported consuming"
55,"Wallis_and_Futuna","Domestic Fish Consumption","27-7",1,"Type of fish consumed","Tuna (fresh, frozen)","MISSING","2021","Percentage of households that reported consuming"
56,"Wallis_and_Futuna","Domestic Fish Consumption","27-7",1,"Type of fish consumed","Preparations of fish","MISSING","2021","Percentage of households that reported consuming"
57,"Wallis_and_Futuna","Domestic Fish Consumption","27-7",1,"Type of fish consumed","Trochus","MISSING","2021","Percentage of households that reported consuming"
58,"Wallis_and_Futuna","Domestic Fish Consumption","27-7",1,"Type of fish consumed","Lobster","MISSING","2021","Percentage of households that reported consuming"
59,"Wallis_and_Futuna","Domestic Fish Consumption","27-7",0,"Type of fish consumed","Marine crabs","MISSING","2021","Percentage of households that reported consuming"
60,"Wallis_and_Futuna","Domestic Fish Consumption","27-7",0,"Type of fish consumed","Cooked mussels","MISSING","2021","Percentage of households that reported consuming"
