"ID","Member_Country","Measure","Table","Value","Harvest_Sector","Year","Unit"
1,"Cook_Islands","Fishing contribution to GDP","6-5",15000000,"Fishing (including pearls)","2017","NZ$"
2,"Cook_Islands","Fishing contribution to GDP","6-5",16000000,"Fishing (including pearls)","2018","NZ$"
3,"Cook_Islands","Fishing contribution to GDP","6-5",23000000,"Fishing (including pearls)","2019","NZ$"
4,"Cook_Islands","Fishing contribution to GDP","6-5",12000000,"Fishing (including pearls)","2020","NZ$"
5,"Cook_Islands","Fishing contribution to GDP","6-5",2000000,"Fishing (including pearls)","2021","NZ$"
6,"Federated_States_of_Micronesia","Fishing contribution to GDP","7-7",125000000,"Fisheries contribution to GDP",NA,"US$"
7,"Federated_States_of_Micronesia","Fishing contribution to GDP","7-7",19000000,"Fisheries contribution to GDP",NA,"US$"
8,"Federated_States_of_Micronesia","Fishing contribution to GDP","7-7",249000000,"Fisheries contribution to GDP",NA,"US$"
9,"Federated_States_of_Micronesia","Fishing contribution to GDP","7-7",176000000,"Fisheries contribution to GDP",NA,"US$"
10,"Fiji","Fishing contribution to GDP","8-6",91200000,"Fishing & aquaculture","2018","F$"
11,"Fiji","Fishing contribution to GDP","8-6",11650600000,"Fiji GDP","2018","F$"
12,"Fiji","Fishing contribution to GDP","8-6",83600000,"Fishing & aquaculture","2019","F$"
13,"Fiji","Fishing contribution to GDP","8-6",11842600000,"Fiji GDP","2019","F$"
14,"Fiji","Fishing contribution to GDP","8-6",77400000,"Fishing & aquaculture","2020","F$"
15,"Fiji","Fishing contribution to GDP","8-6",9709800000,"Fiji GDP","2020","F$"
16,"Fiji","Fishing contribution to GDP","8-6",66800000,"Fishing & aquaculture","2021","F$"
17,"Fiji","Fishing contribution to GDP","8-6",8895900000,"Fiji GDP","2021","F$"
18,"Kiribati","Fishing contribution to GDP","9-5",5678000,"Informal sector fishing for cash sales","2017","A$"
19,"Kiribati","Fishing contribution to GDP","9-5",75000,"Seaweed growers","2017","A$"
20,"Kiribati","Fishing contribution to GDP","9-5",9464000,"Informal sector fishing for subsistence","2017","A$"
21,"Kiribati","Fishing contribution to GDP","9-5",4973000,"Formal sector fishing","2017","A$"
22,"Kiribati","Fishing contribution to GDP","9-5",22207000,"Total fishing contribution","2017","A$"
23,"Kiribati","Fishing contribution to GDP","9-5",245532000,"Kiribati GDP at market prices","2017","A$"
24,"Kiribati","Fishing contribution to GDP","9-5",6183000,"Informal sector fishing for cash sales","2018","A$"
25,"Kiribati","Fishing contribution to GDP","9-5",75000,"Seaweed growers","2018","A$"
26,"Kiribati","Fishing contribution to GDP","9-5",10305000,"Informal sector fishing for subsistence","2018","A$"
27,"Kiribati","Fishing contribution to GDP","9-5",10229000,"Formal sector fishing","2018","A$"
28,"Kiribati","Fishing contribution to GDP","9-5",26792000,"Total fishing contribution","2018","A$"
29,"Kiribati","Fishing contribution to GDP","9-5",262640000,"Kiribati GDP at market prices","2018","A$"
30,"Kiribati","Fishing contribution to GDP","9-5",5924000,"Informal sector fishing for cash sales","2019","A$"
31,"Kiribati","Fishing contribution to GDP","9-5",75000,"Seaweed growers","2019","A$"
32,"Kiribati","Fishing contribution to GDP","9-5",9874000,"Informal sector fishing for subsistence","2019","A$"
33,"Kiribati","Fishing contribution to GDP","9-5",9306000,"Formal sector fishing","2019","A$"
34,"Kiribati","Fishing contribution to GDP","9-5",25179000,"Total fishing contribution","2019","A$"
35,"Kiribati","Fishing contribution to GDP","9-5",252344000,"Kiribati GDP at market prices","2019","A$"
36,"Kiribati","Fishing contribution to GDP","9-5",6403000,"Informal sector fishing for cash sales","2020","A$"
37,"Kiribati","Fishing contribution to GDP","9-5",75000,"Seaweed growers","2020","A$"
38,"Kiribati","Fishing contribution to GDP","9-5",10672000,"Informal sector fishing for subsistence","2020","A$"
39,"Kiribati","Fishing contribution to GDP","9-5",6223000,"Formal sector fishing","2020","A$"
40,"Kiribati","Fishing contribution to GDP","9-5",23373000,"Total fishing contribution","2020","A$"
41,"Kiribati","Fishing contribution to GDP","9-5",258139000,"Kiribati GDP at market prices","2020","A$"
42,"Kiribati","Fishing contribution to GDP","9-5",5959000,"Informal sector fishing for cash sales","2021","A$"
43,"Kiribati","Fishing contribution to GDP","9-5",75000,"Seaweed growers","2021","A$"
44,"Kiribati","Fishing contribution to GDP","9-5",9932000,"Informal sector fishing for subsistence","2021","A$"
45,"Kiribati","Fishing contribution to GDP","9-5",8226000,"Formal sector fishing","2021","A$"
