"ID","Member_Country","Measure","Table","Value","Harvest_Sector","GDP_Dimension","Year","Unit"
1,"American_Samoa","Fishing contribution to GDP - VAR Method","20-5",105000,"Coastal commercial","Gross Value of Production","2021","US$"
2,"American_Samoa","Fishing contribution to GDP - VAR Method","20-5",490000,"Coastal subsistence","Gross Value of Production","2021","US$"
3,"American_Samoa","Fishing contribution to GDP - VAR Method","20-5",3000000,"Offshore Locally Based","Gross Value of Production","2021","US$"
4,"American_Samoa","Fishing contribution to GDP - VAR Method","20-5",4900,"Freshwater","Gross Value of Production","2021","US$"
5,"American_Samoa","Fishing contribution to GDP - VAR Method","20-5",49000,"Aquaculture","Gross Value of Production","2021","US$"
6,"American_Samoa","Fishing contribution to GDP - VAR Method","20-5",0.69,"Coastal commercial","VAR","2021","Proportion"
7,"American_Samoa","Fishing contribution to GDP - VAR Method","20-5",0.85,"Coastal subsistence","VAR","2021","Proportion"
8,"American_Samoa","Fishing contribution to GDP - VAR Method","20-5",0.25,"Offshore Locally Based","VAR","2021","Proportion"
9,"American_Samoa","Fishing contribution to GDP - VAR Method","20-5",0.9,"Freshwater","VAR","2021","Proportion"
10,"American_Samoa","Fishing contribution to GDP - VAR Method","20-5",0.74,"Aquaculture","VAR","2021","Proportion"
11,"American_Samoa","Fishing contribution to GDP - VAR Method","20-5",72450,"Coastal commercial","Value added","2021","US$"
12,"American_Samoa","Fishing contribution to GDP - VAR Method","20-5",416500,"Coastal subsistence","Value added","2021","US$"
13,"American_Samoa","Fishing contribution to GDP - VAR Method","20-5",750000,"Offshore Locally Based","Value added","2021","US$"
14,"American_Samoa","Fishing contribution to GDP - VAR Method","20-5",4410,"Freshwater","Value added","2021","US$"
15,"American_Samoa","Fishing contribution to GDP - VAR Method","20-5",36260,"Aquaculture","Value added","2021","US$"
16,"Cook_Islands","Fishing contribution to GDP - VAR Method","6-7",1600000,"Coastal commercial","Gross Value of Production","2021","NZ$"
17,"Cook_Islands","Fishing contribution to GDP - VAR Method","6-7",2300000,"Coastal subsistence","Gross Value of Production","2021","NZ$"
18,"Cook_Islands","Fishing contribution to GDP - VAR Method","6-7",2500000,"Offshore Locally Based","Gross Value of Production","2021","NZ$"
19,"Cook_Islands","Fishing contribution to GDP - VAR Method","6-7",41000,"Freshwater","Gross Value of Production","2021","NZ$"
20,"Cook_Islands","Fishing contribution to GDP - VAR Method","6-7",330500,"Aquaculture","Gross Value of Production","2021","NZ$"
21,"Cook_Islands","Fishing contribution to GDP - VAR Method","6-7",0.65,"Coastal commercial","VAR","2021","Proportion"
22,"Cook_Islands","Fishing contribution to GDP - VAR Method","6-7",0.8,"Coastal subsistence","VAR","2021","Proportion"
23,"Cook_Islands","Fishing contribution to GDP - VAR Method","6-7",0.2,"Offshore Locally Based","VAR","2021","Proportion"
24,"Cook_Islands","Fishing contribution to GDP - VAR Method","6-7",0.9,"Freshwater","VAR","2021","Proportion"
25,"Cook_Islands","Fishing contribution to GDP - VAR Method","6-7",0.45,"Aquaculture","VAR","2021","Proportion"
26,"Cook_Islands","Fishing contribution to GDP - VAR Method","6-7",1040000,"Coastal commercial","Value added","2021","NZ$"
27,"Cook_Islands","Fishing contribution to GDP - VAR Method","6-7",1840000,"Coastal subsistence","Value added","2021","NZ$"
28,"Cook_Islands","Fishing contribution to GDP - VAR Method","6-7",500000,"Offshore Locally Based","Value added","2021","NZ$"
29,"Cook_Islands","Fishing contribution to GDP - VAR Method","6-7",36900,"Freshwater","Value added","2021","NZ$"
30,"Cook_Islands","Fishing contribution to GDP - VAR Method","6-7",148725,"Aquaculture","Value added","2021","NZ$"
31,"Federated_States_of_Micronesia","Fishing contribution to GDP - VAR Method","7-8",7000000,"Coastal commercial","Gross Value of Production","2021","US$"
32,"Federated_States_of_Micronesia","Fishing contribution to GDP - VAR Method","7-8",10500000,"Coastal subsistence","Gross Value of Production","2021","US$"
33,"Federated_States_of_Micronesia","Fishing contribution to GDP - VAR Method","7-8",35757258,"Offshore Locally Based","Gross Value of Production","2021","US$"
34,"Federated_States_of_Micronesia","Fishing contribution to GDP - VAR Method","7-8",8000,"Freshwater","Gross Value of Production","2021","US$"
35,"Federated_States_of_Micronesia","Fishing contribution to GDP - VAR Method","7-8",325000,"Aquaculture","Gross Value of Production","2021","US$"
36,"Federated_States_of_Micronesia","Fishing contribution to GDP - VAR Method","7-8",75,"Coastal commercial","VAR","2021","Proportion"
37,"Federated_States_of_Micronesia","Fishing contribution to GDP - VAR Method","7-8",85,"Coastal subsistence","VAR","2021","Proportion"
38,"Federated_States_of_Micronesia","Fishing contribution to GDP - VAR Method","7-8",5,"Offshore Locally Based","VAR","2021","Proportion"
39,"Federated_States_of_Micronesia","Fishing contribution to GDP - VAR Method","7-8",95,"Freshwater","VAR","2021","Proportion"
40,"Federated_States_of_Micronesia","Fishing contribution to GDP - VAR Method","7-8",55,"Aquaculture","VAR","2021","Proportion"
41,"Federated_States_of_Micronesia","Fishing contribution to GDP - VAR Method","7-8",5250000,"Coastal commercial","Value added","2021","US$"
42,"Federated_States_of_Micronesia","Fishing contribution to GDP - VAR Method","7-8",8925000,"Coastal subsistence","Value added","2021","US$"
43,"Federated_States_of_Micronesia","Fishing contribution to GDP - VAR Method","7-8",17878629,"Offshore Locally Based","Value added","2021","US$"
44,"Federated_States_of_Micronesia","Fishing contribution to GDP - VAR Method","7-8",7600,"Freshwater","Value added","2021","US$"
45,"Federated_States_of_Micronesia","Fishing contribution to GDP - VAR Method","7-8",178750,"Aquaculture","Value added","2021","US$"
46,"Fiji","Fishing contribution to GDP - VAR Method","7-8",58000000,"Coastal commercial","Gross Value of Production","2021","F$"
47,"Fiji","Fishing contribution to GDP - VAR Method","7-8",80000000,"Coastal subsistence","Gross Value of Production","2021","F$"
48,"Fiji","Fishing contribution to GDP - VAR Method","7-8",84600000,"Offshore Locally Based","Gross Value of Production","2021","F$"
49,"Fiji","Fishing contribution to GDP - VAR Method","7-8",7000000,"Freshwater","Gross Value of Production","2021","F$"
50,"Fiji","Fishing contribution to GDP - VAR Method","7-8",3000000,"Pearls","Gross Value of Production","2021","F$"
51,"Fiji","Fishing contribution to GDP - VAR Method","7-8",3014000,"Other aquaculture","Gross Value of Production","2021","F$"
52,"Fiji","Fishing contribution to GDP - VAR Method","7-8",0.55,"Coastal commercial","VAR","2021","F$"
53,"Fiji","Fishing contribution to GDP - VAR Method","7-8",0.8,"Coastal subsistence","VAR","2021","F$"
54,"Fiji","Fishing contribution to GDP - VAR Method","7-8",0.2,"Offshore Locally Based","VAR","2021","F$"
55,"Fiji","Fishing contribution to GDP - VAR Method","7-8",0.9,"Freshwater","VAR","2021","F$"
56,"Fiji","Fishing contribution to GDP - VAR Method","7-8",0.45,"Pearls","VAR","2021","F$"
57,"Fiji","Fishing contribution to GDP - VAR Method","7-8",0.73,"Other aquaculture","VAR","2021","F$"
58,"Fiji","Fishing contribution to GDP - VAR Method","7-8",31900000,"Coastal commercial","Value added","2021","F$"
59,"Fiji","Fishing contribution to GDP - VAR Method","7-8",64000000,"Coastal subsistence","Value added","2021","F$"
60,"Fiji","Fishing contribution to GDP - VAR Method","7-8",16920000,"Offshore Locally Based","Value added","2021","F$"
61,"Fiji","Fishing contribution to GDP - VAR Method","7-8",6300000,"Freshwater","Value added","2021","F$"
62,"Fiji","Fishing contribution to GDP - VAR Method","7-8",1350000,"Pearls","Value added","2021","F$"
63,"Fiji","Fishing contribution to GDP - VAR Method","7-8",2200220,"Other aquaculture","Value added","2021","F$"
64,"French_Polynesia","Fishing contribution to GDP - VAR Method","21-8",2198100000,"Coastal commercial","Gross Value of Production","2021","XPF"
65,"French_Polynesia","Fishing contribution to GDP - VAR Method","21-8",1014270546,"Coastal subsistence","Gross Value of Production","2021","XPF"
