"ID","Member_Country","Measure","Table","Value","Location","Fish_Activity","Year","Unit"
1,"Cook_Islands","Number of households engaged in fishing","6-10",630,"Rarotonga","Fishing in lagoon","2021","Number"
2,"Cook_Islands","Number of households engaged in fishing","6-10",378,"Southern Islands","Fishing in lagoon","2021","Number"
3,"Cook_Islands","Number of households engaged in fishing","6-10",93,"Northern Islands","Fishing in lagoon","2021","Number"
4,"Cook_Islands","Number of households engaged in fishing","6-10",1101,"Cook Islands","Fishing in lagoon","2021","Number"
5,"Cook_Islands","Number of households engaged in fishing","6-10",0.248,"% participation","Fishing in lagoon","2021","Proportion"
6,"Cook_Islands","Number of households engaged in fishing","6-10",194,"Rarotonga","Fishing outside reef","2021","Number"
7,"Cook_Islands","Number of households engaged in fishing","6-10",85,"Southern Islands","Fishing outside reef","2021","Number"
8,"Cook_Islands","Number of households engaged in fishing","6-10",76,"Northern Islands","Fishing outside reef","2021","Number"
9,"Cook_Islands","Number of households engaged in fishing","6-10",355,"Cook Islands","Fishing outside reef","2021","Number"
10,"Cook_Islands","Number of households engaged in fishing","6-10",0.08,"% participation","Fishing outside reef","2021","Proportion"
11,"Cook_Islands","Number of households engaged in fishing","6-10",241,"Rarotonga","Fish both inside and outside","2021","Number"
12,"Cook_Islands","Number of households engaged in fishing","6-10",246,"Southern Islands","Fish both inside and outside","2021","Number"
13,"Cook_Islands","Number of households engaged in fishing","6-10",186,"Northern Islands","Fish both inside and outside","2021","Number"
14,"Cook_Islands","Number of households engaged in fishing","6-10",673,"Cook Islands","Fish both inside and outside","2021","Number"
15,"Cook_Islands","Number of households engaged in fishing","6-10",0.152,"% participation","Fish both inside and outside","2021","Proportion"
16,"Cook_Islands","Number of households engaged in fishing","6-10",12,"Rarotonga","Aquaculture","2021","Number"
17,"Cook_Islands","Number of households engaged in fishing","6-10",15,"Southern Islands","Aquaculture","2021","Number"
18,"Cook_Islands","Number of households engaged in fishing","6-10",5,"Northern Islands","Aquaculture","2021","Number"
19,"Cook_Islands","Number of households engaged in fishing","6-10",32,"Cook Islands","Aquaculture","2021","Number"
20,"Cook_Islands","Number of households engaged in fishing","6-10",0.007,"% participation","Aquaculture","2021","Proportion"
21,"Cook_Islands","Number of households engaged in fishing","6-10",12,"Rarotonga","Pearl farming","2021","Number"
22,"Cook_Islands","Number of households engaged in fishing","6-10",3,"Southern Islands","Pearl farming","2021","Number"
23,"Cook_Islands","Number of households engaged in fishing","6-10",27,"Northern Islands","Pearl farming","2021","Number"
24,"Cook_Islands","Number of households engaged in fishing","6-10",42,"Cook Islands","Pearl farming","2021","Number"
25,"Cook_Islands","Number of households engaged in fishing","6-10",0.009,"% participation","Pearl farming","2021","Proportion"
