"ID","Member_Country","Measure","Table","Value","Metric","Unit","PICT","Year"
1,"Summary_Tables","Volume of fishery production by PICT","29-7",7000,"Coastal Commercial","Tonnes","Kiribati","2007"
2,"Summary_Tables","Volume of fishery production by PICT","29-7",7600,"Coastal Commercial","Tonnes","Kiribati","2014"
3,"Summary_Tables","Volume of fishery production by PICT","29-7",8000,"Coastal Commercial","Tonnes","Kiribati","2021"
4,"Summary_Tables","Volume of fishery production by PICT","29-7",5700,"Coastal Commercial","Tonnes","PNG","2007"
5,"Summary_Tables","Volume of fishery production by PICT","29-7",6500,"Coastal Commercial","Tonnes","PNG","2014"
6,"Summary_Tables","Volume of fishery production by PICT","29-7",6000,"Coastal Commercial","Tonnes","PNG","2021"
7,"Summary_Tables","Volume of fishery production by PICT","29-7",200,"Coastal Commercial","Tonnes","Nauru","2007"
8,"Summary_Tables","Volume of fishery production by PICT","29-7",163,"Coastal Commercial","Tonnes","Nauru","2014"
9,"Summary_Tables","Volume of fishery production by PICT","29-7",140,"Coastal Commercial","Tonnes","Nauru","2021"
10,"Summary_Tables","Volume of fishery production by PICT","29-7",2800,"Coastal Commercial","Tonnes","FSM","2007"
11,"Summary_Tables","Volume of fishery production by PICT","29-7",1725,"Coastal Commercial","Tonnes","FSM","2014"
12,"Summary_Tables","Volume of fishery production by PICT","29-7",1600,"Coastal Commercial","Tonnes","FSM","2021"
13,"Summary_Tables","Volume of fishery production by PICT","29-7",3250,"Coastal Commercial","Tonnes","Solomon Islands","2007"
14,"Summary_Tables","Volume of fishery production by PICT","29-7",6468,"Coastal Commercial","Tonnes","Solomon Islands","2014"
15,"Summary_Tables","Volume of fishery production by PICT","29-7",5000,"Coastal Commercial","Tonnes","Solomon Islands","2021"
16,"Summary_Tables","Volume of fishery production by PICT","29-7",950,"Coastal Commercial","Tonnes","Marshall Islands","2007"
17,"Summary_Tables","Volume of fishery production by PICT","29-7",1500,"Coastal Commercial","Tonnes","Marshall Islands","2014"
18,"Summary_Tables","Volume of fishery production by PICT","29-7",1200,"Coastal Commercial","Tonnes","Marshall Islands","2021"
19,"Summary_Tables","Volume of fishery production by PICT","29-7",226,"Coastal Commercial","Tonnes","Tuvalu","2007"
20,"Summary_Tables","Volume of fishery production by PICT","29-7",300,"Coastal Commercial","Tonnes","Tuvalu","2014"
21,"Summary_Tables","Volume of fishery production by PICT","29-7",350,"Coastal Commercial","Tonnes","Tuvalu","2021"
22,"Summary_Tables","Volume of fishery production by PICT","29-7",9500,"Coastal Commercial","Tonnes","Fiji","2007"
23,"Summary_Tables","Volume of fishery production by PICT","29-7",11000,"Coastal Commercial","Tonnes","Fiji","2014"
24,"Summary_Tables","Volume of fishery production by PICT","29-7",11700,"Coastal Commercial","Tonnes","Fiji","2021"
25,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Coastal Commercial","Tonnes","Tokelau","2007"
26,"Summary_Tables","Volume of fishery production by PICT","29-7",40,"Coastal Commercial","Tonnes","Tokelau","2014"
27,"Summary_Tables","Volume of fishery production by PICT","29-7",0,"Coastal Commercial","Tonnes","Tokelau","2021"
28,"Summary_Tables","Volume of fishery production by PICT","29-7",133,"Coastal Commercial","Tonnes","Cook Islands","2007"
29,"Summary_Tables","Volume of fishery production by PICT","29-7",150,"Coastal Commercial","Tonnes","Cook Islands","2014"
30,"Summary_Tables","Volume of fishery production by PICT","29-7",150,"Coastal Commercial","Tonnes","Cook Islands","2021"
31,"Summary_Tables","Volume of fishery production by PICT","29-7",538,"Coastal Commercial","Tonnes","Vanuatu","2007"
32,"Summary_Tables","Volume of fishery production by PICT","29-7",1106,"Coastal Commercial","Tonnes","Vanuatu","2014"
33,"Summary_Tables","Volume of fishery production by PICT","29-7",1300,"Coastal Commercial","Tonnes","Vanuatu","2021"
34,"Summary_Tables","Volume of fishery production by PICT","29-7",4002,"Coastal Commercial","Tonnes","French Polynesia","2007"
35,"Summary_Tables","Volume of fishery production by PICT","29-7",5666,"Coastal Commercial","Tonnes","French Polynesia","2014"
36,"Summary_Tables","Volume of fishery production by PICT","29-7",3565,"Coastal Commercial","Tonnes","French Polynesia","2021"
37,"Summary_Tables","Volume of fishery production by PICT","29-7",4129,"Coastal Commercial","Tonnes","Samoa","2007"
38,"Summary_Tables","Volume of fishery production by PICT","29-7",5000,"Coastal Commercial","Tonnes","Samoa","2014"
39,"Summary_Tables","Volume of fishery production by PICT","29-7",5500,"Coastal Commercial","Tonnes","Samoa","2021"
40,"Summary_Tables","Volume of fishery production by PICT","29-7",3700,"Coastal Commercial","Tonnes","Tonga","2007"
41,"Summary_Tables","Volume of fishery production by PICT","29-7",3900,"Coastal Commercial","Tonnes","Tonga","2014"
42,"Summary_Tables","Volume of fishery production by PICT","29-7",3500,"Coastal Commercial","Tonnes","Tonga","2021"
43,"Summary_Tables","Volume of fishery production by PICT","29-7",865,"Coastal Commercial","Tonnes","Palau","2007"
44,"Summary_Tables","Volume of fishery production by PICT","29-7",865,"Coastal Commercial","Tonnes","Palau","2014"
45,"Summary_Tables","Volume of fishery production by PICT","29-7",1000,"Coastal Commercial","Tonnes","Palau","2021"
46,"Summary_Tables","Volume of fishery production by PICT","29-7",1350,"Coastal Commercial","Tonnes","New","2007"
47,"Summary_Tables","Volume of fishery production by PICT","29-7",1350,"Coastal Commercial","Tonnes","Caledonia","2014"
48,"Summary_Tables","Volume of fishery production by PICT","29-7",680,"Coastal Commercial","Tonnes","Caledonia","2021"
49,"Summary_Tables","Volume of fishery production by PICT","29-7",35,"Coastal Commercial","Tonnes","American Samoa","2007"
50,"Summary_Tables","Volume of fishery production by PICT","29-7",42,"Coastal Commercial","Tonnes","American Samoa","2014"
51,"Summary_Tables","Volume of fishery production by PICT","29-7",15,"Coastal Commercial","Tonnes","American Samoa","2021"
52,"Summary_Tables","Volume of fishery production by PICT","29-7",121,"Coastal Commercial","Tonnes","Wallis and Futuna","2007"
53,"Summary_Tables","Volume of fishery production by PICT","29-7",150,"Coastal Commercial","Tonnes","Wallis and Futuna","2014"
54,"Summary_Tables","Volume of fishery production by PICT","29-7",42,"Coastal Commercial","Tonnes","Wallis and Futuna","2021"
55,"Summary_Tables","Volume of fishery production by PICT","29-7",10,"Coastal Commercial","Tonnes","Niue","2007"
56,"Summary_Tables","Volume of fishery production by PICT","29-7",11,"Coastal Commercial","Tonnes","Niue","2014"
57,"Summary_Tables","Volume of fishery production by PICT","29-7",9,"Coastal Commercial","Tonnes","Niue","2021"
58,"Summary_Tables","Volume of fishery production by PICT","29-7",142,"Coastal Commercial","Tonnes","Northern Mariana Is.","2007"
59,"Summary_Tables","Volume of fishery production by PICT","29-7",231,"Coastal Commercial","Tonnes","Northern Mariana Is.","2014"
60,"Summary_Tables","Volume of fishery production by PICT","29-7",183,"Coastal Commercial","Tonnes","Northern Mariana Is.","2021"
61,"Summary_Tables","Volume of fishery production by PICT","29-7",44,"Coastal Commercial","Tonnes","Guam","2007"
62,"Summary_Tables","Volume of fishery production by PICT","29-7",72,"Coastal Commercial","Tonnes","Guam","2014"
63,"Summary_Tables","Volume of fishery production by PICT","29-7",26,"Coastal Commercial","Tonnes","Guam","2021"
64,"Summary_Tables","Volume of fishery production by PICT","29-7",5,"Coastal Commercial","Tonnes","Pitcairn","2007"
65,"Summary_Tables","Volume of fishery production by PICT","29-7",3,"Coastal Commercial","Tonnes","Pitcairn","2014"
66,"Summary_Tables","Volume of fishery production by PICT","29-7",3,"Coastal Commercial","Tonnes","Pitcairn","2021"
67,"Summary_Tables","Volume of fishery production by PICT","29-7",13700,"Coastal Subsistance","Tonnes","Kiribati","2007"
68,"Summary_Tables","Volume of fishery production by PICT","29-7",11400,"Coastal Subsistance","Tonnes","Kiribati","2014"
69,"Summary_Tables","Volume of fishery production by PICT","29-7",11000,"Coastal Subsistance","Tonnes","Kiribati","2021"
70,"Summary_Tables","Volume of fishery production by PICT","29-7",30000,"Coastal Subsistance","Tonnes","PNG","2007"
71,"Summary_Tables","Volume of fishery production by PICT","29-7",35000,"Coastal Subsistance","Tonnes","PNG","2014"
72,"Summary_Tables","Volume of fishery production by PICT","29-7",40000,"Coastal Subsistance","Tonnes","PNG","2021"
73,"Summary_Tables","Volume of fishery production by PICT","29-7",450,"Coastal Subsistance","Tonnes","Nauru","2007"
74,"Summary_Tables","Volume of fishery production by PICT","29-7",210,"Coastal Subsistance","Tonnes","Nauru","2014"
75,"Summary_Tables","Volume of fishery production by PICT","29-7",100,"Coastal Subsistance","Tonnes","Nauru","2021"
76,"Summary_Tables","Volume of fishery production by PICT","29-7",9800,"Coastal Subsistance","Tonnes","FSM","2007"
77,"Summary_Tables","Volume of fishery production by PICT","29-7",3555,"Coastal Subsistance","Tonnes","FSM","2014"
78,"Summary_Tables","Volume of fishery production by PICT","29-7",3400,"Coastal Subsistance","Tonnes","FSM","2021"
79,"Summary_Tables","Volume of fishery production by PICT","29-7",15000,"Coastal Subsistance","Tonnes","Solomon Islands","2007"
80,"Summary_Tables","Volume of fishery production by PICT","29-7",20000,"Coastal Subsistance","Tonnes","Solomon Islands","2014"
81,"Summary_Tables","Volume of fishery production by PICT","29-7",25000,"Coastal Subsistance","Tonnes","Solomon Islands","2021"
82,"Summary_Tables","Volume of fishery production by PICT","29-7",2800,"Coastal Subsistance","Tonnes","Marshall Islands","2007"
83,"Summary_Tables","Volume of fishery production by PICT","29-7",3000,"Coastal Subsistance","Tonnes","Marshall Islands","2014"
84,"Summary_Tables","Volume of fishery production by PICT","29-7",3000,"Coastal Subsistance","Tonnes","Marshall Islands","2021"
85,"Summary_Tables","Volume of fishery production by PICT","29-7",989,"Coastal Subsistance","Tonnes","Tuvalu","2007"
86,"Summary_Tables","Volume of fishery production by PICT","29-7",1135,"Coastal Subsistance","Tonnes","Tuvalu","2014"
87,"Summary_Tables","Volume of fishery production by PICT","29-7",1150,"Coastal Subsistance","Tonnes","Tuvalu","2021"
88,"Summary_Tables","Volume of fishery production by PICT","29-7",17400,"Coastal Subsistance","Tonnes","Fiji","2007"
89,"Summary_Tables","Volume of fishery production by PICT","29-7",16000,"Coastal Subsistance","Tonnes","Fiji","2014"
90,"Summary_Tables","Volume of fishery production by PICT","29-7",18400,"Coastal Subsistance","Tonnes","Fiji","2021"
91,"Summary_Tables","Volume of fishery production by PICT","29-7",375,"Coastal Subsistance","Tonnes","Tokelau","2007"
92,"Summary_Tables","Volume of fishery production by PICT","29-7",360,"Coastal Subsistance","Tonnes","Tokelau","2014"
93,"Summary_Tables","Volume of fishery production by PICT","29-7",300,"Coastal Subsistance","Tonnes","Tokelau","2021"
94,"Summary_Tables","Volume of fishery production by PICT","29-7",267,"Coastal Subsistance","Tonnes","Cook Islands","2007"
95,"Summary_Tables","Volume of fishery production by PICT","29-7",276,"Coastal Subsistance","Tonnes","Cook Islands","2014"
96,"Summary_Tables","Volume of fishery production by PICT","29-7",280,"Coastal Subsistance","Tonnes","Cook Islands","2021"
97,"Summary_Tables","Volume of fishery production by PICT","29-7",2830,"Coastal Subsistance","Tonnes","Vanuatu","2007"
98,"Summary_Tables","Volume of fishery production by PICT","29-7",2800,"Coastal Subsistance","Tonnes","Vanuatu","2014"
99,"Summary_Tables","Volume of fishery production by PICT","29-7",3100,"Coastal Subsistance","Tonnes","Vanuatu","2021"
100,"Summary_Tables","Volume of fishery production by PICT","29-7",2880,"Coastal Subsistance","Tonnes","French Polynesia","2007"
101,"Summary_Tables","Volume of fishery production by PICT","29-7",2350,"Coastal Subsistance","Tonnes","French Polynesia","2014"
102,"Summary_Tables","Volume of fishery production by PICT","29-7",2350,"Coastal Subsistance","Tonnes","French Polynesia","2021"
103,"Summary_Tables","Volume of fishery production by PICT","29-7",4495,"Coastal Subsistance","Tonnes","Samoa","2007"
104,"Summary_Tables","Volume of fishery production by PICT","29-7",5000,"Coastal Subsistance","Tonnes","Samoa","2014"
105,"Summary_Tables","Volume of fishery production by PICT","29-7",5500,"Coastal Subsistance","Tonnes","Samoa","2021"
106,"Summary_Tables","Volume of fishery production by PICT","29-7",2800,"Coastal Subsistance","Tonnes","Tonga","2007"
107,"Summary_Tables","Volume of fishery production by PICT","29-7",3000,"Coastal Subsistance","Tonnes","Tonga","2014"
108,"Summary_Tables","Volume of fishery production by PICT","29-7",3500,"Coastal Subsistance","Tonnes","Tonga","2021"
109,"Summary_Tables","Volume of fishery production by PICT","29-7",1250,"Coastal Subsistance","Tonnes","Palau","2007"
110,"Summary_Tables","Volume of fishery production by PICT","29-7",1250,"Coastal Subsistance","Tonnes","Palau","2014"
111,"Summary_Tables","Volume of fishery production by PICT","29-7",1400,"Coastal Subsistance","Tonnes","Palau","2021"
112,"Summary_Tables","Volume of fishery production by PICT","29-7",3500,"Coastal Subsistance","Tonnes","New","2007"
113,"Summary_Tables","Volume of fishery production by PICT","29-7",3500,"Coastal Subsistance","Tonnes","Caledonia","2014"
114,"Summary_Tables","Volume of fishery production by PICT","29-7",4760,"Coastal Subsistance","Tonnes","Caledonia","2021"
115,"Summary_Tables","Volume of fishery production by PICT","29-7",120,"Coastal Subsistance","Tonnes","American Samoa","2007"
116,"Summary_Tables","Volume of fishery production by PICT","29-7",120,"Coastal Subsistance","Tonnes","American Samoa","2014"
117,"Summary_Tables","Volume of fishery production by PICT","29-7",100,"Coastal Subsistance","Tonnes","American Samoa","2021"
118,"Summary_Tables","Volume of fishery production by PICT","29-7",840,"Coastal Subsistance","Tonnes","Wallis and Futuna","2007"
