"ID","Member_Country","Measure","Table","Value","Metric","Unit","PICT"
1,"Summary_Tables","Volume of production in 2021","29-1",680,"Coastal commercial","Tonnes","New Caledonia"
2,"Summary_Tables","Volume of production in 2021","29-1",3,"Coastal commercial","Tonnes","Pitcairn"
3,"Summary_Tables","Volume of production in 2021","29-1",0,"Coastal commercial","Tonnes","Tokelau"
4,"Summary_Tables","Volume of production in 2021","29-1",42,"Coastal commercial","Tonnes","Wallis & Futuna"
5,"Summary_Tables","Volume of production in 2021","29-1",183,"Coastal commercial","Tonnes","Northern Mariana Islands"
6,"Summary_Tables","Volume of production in 2021","29-1",150,"Coastal commercial","Tonnes","Cook Islands"
7,"Summary_Tables","Volume of production in 2021","29-1",1600,"Coastal commercial","Tonnes","FSM"
8,"Summary_Tables","Volume of production in 2021","29-1",11700,"Coastal commercial","Tonnes","Fiji"
9,"Summary_Tables","Volume of production in 2021","29-1",8000,"Coastal commercial","Tonnes","Kiribati"
10,"Summary_Tables","Volume of production in 2021","29-1",1200,"Coastal commercial","Tonnes","Marshall Islands"
11,"Summary_Tables","Volume of production in 2021","29-1",140,"Coastal commercial","Tonnes","Nauru"
12,"Summary_Tables","Volume of production in 2021","29-1",9,"Coastal commercial","Tonnes","Niue"
13,"Summary_Tables","Volume of production in 2021","29-1",1000,"Coastal commercial","Tonnes","Palau"
14,"Summary_Tables","Volume of production in 2021","29-1",49963,"Coastal commercial","Tonnes","Total"
15,"Summary_Tables","Volume of production in 2021","29-1",5500,"Coastal commercial","Tonnes","Samoa"
16,"Summary_Tables","Volume of production in 2021","29-1",5000,"Coastal commercial","Tonnes","Solomon Islands"
17,"Summary_Tables","Volume of production in 2021","29-1",3500,"Coastal commercial","Tonnes","Tonga"
18,"Summary_Tables","Volume of production in 2021","29-1",350,"Coastal commercial","Tonnes","Tuvalu"
19,"Summary_Tables","Volume of production in 2021","29-1",1300,"Coastal commercial","Tonnes","Vanuatu"
20,"Summary_Tables","Volume of production in 2021","29-1",15,"Coastal commercial","Tonnes","American Samoa"
21,"Summary_Tables","Volume of production in 2021","29-1",3565,"Coastal commercial","Tonnes","French Polynesia"
22,"Summary_Tables","Volume of production in 2021","29-1",26,"Coastal commercial","Tonnes","Guam"
23,"Summary_Tables","Volume of production in 2021","29-1",6000,"Coastal commercial","Tonnes","PNG"
24,"Summary_Tables","Volume of production in 2021","29-1",5500,"Coastal subsistence","Tonnes","Samoa"
25,"Summary_Tables","Volume of production in 2021","29-1",25000,"Coastal subsistence","Tonnes","Solomon Islands"
26,"Summary_Tables","Volume of production in 2021","29-1",3500,"Coastal subsistence","Tonnes","Tonga"
27,"Summary_Tables","Volume of production in 2021","29-1",40000,"Coastal subsistence","Tonnes","PNG"
28,"Summary_Tables","Volume of production in 2021","29-1",280,"Coastal subsistence","Tonnes","Cook Islands"
29,"Summary_Tables","Volume of production in 2021","29-1",3400,"Coastal subsistence","Tonnes","FSM"
30,"Summary_Tables","Volume of production in 2021","29-1",18400,"Coastal subsistence","Tonnes","Fiji"
31,"Summary_Tables","Volume of production in 2021","29-1",11000,"Coastal subsistence","Tonnes","Kiribati"
32,"Summary_Tables","Volume of production in 2021","29-1",3000,"Coastal subsistence","Tonnes","Marshall Islands"
33,"Summary_Tables","Volume of production in 2021","29-1",100,"Coastal subsistence","Tonnes","Nauru"
34,"Summary_Tables","Volume of production in 2021","29-1",160,"Coastal subsistence","Tonnes","Niue"
35,"Summary_Tables","Volume of production in 2021","29-1",1400,"Coastal subsistence","Tonnes","Palau"
