"Measure","variable","value"
"Catches by Method","Method","Long Liners"
"Catches by Method","Method","Longline"
"Catches by Method","Method","Purse seine"
"Catches by Method","Method","Small Scale Trolling"
"Catches by Method","Method","Longline "
"Catches by Method","Method","Purse seine "
"Catches by Method","Species","Albacore,  NPO (t)"
"Catches by Method","Species","Albacore,  SPO (t)"
"Catches by Method","Species","Bigeye  tuna (t)"
"Catches by Method","Species","Number of vessels"
"Catches by Method","Species","Pacific bluefin tuna (t)"
"Catches by Method","Species","Skipjack tuna (t)"
"Catches by Method","Species","Yellowfin tuna (t)"
"Catches by Method","Species","Effort"
"Catches by Method","Species","Albacore"
"Catches by Method","Species","Bigeye"
"Catches by Method","Species","Yellowfin"
"Catches by Method","Species","Skipjack"
"Catches by Method","Species","Other"
"Catches by Method","Species","Bigeye tuna"
"Catches by Method","Species","Yellowfin tuna"
"Catches by Method","Species","Black marlin"
"Catches by Method","Species","Blue marlin"
"Catches by Method","Species","Striped marlin"
"Catches by Method","Species","Swordfish"
"Catches by Method","Species","Blue shark"
"Catches by Method","Species","Pacific bluefin"
"Catches by Method","Species","Tuna and bycatch volume (t)"
"Catches by Method","Species","Tuna and bycatch value (in-zone, F$ millions)"
"Catches by Method","Species","Dolphinfish"
"Catches by Method","Species","Billfish"
"Catches by Method","Species","Wahoo"
"Catches by Method","Year","2021"
"Catches by Method","Year","2020"
"Catches by Method","Year","2019"
"Catches by Method","Year","2018"
"Catches by Method","Year","2017"
"Catches by Method","Year","2016"
"Catches by Method","Unit","Tonnes"
"Catches by Method","Unit","Hooks"
"Catches by Method","Unit","Days"
"Catches by Method","Unit","Hours"
"Domestic Fish Consumption","Dimension","Location"
"Domestic Fish Consumption","Dimension","Type of fish consumed"
"Domestic Fish Consumption","Dimension_Value","Dromuna"
"Domestic Fish Consumption","Dimension_Value","Muaivuso"
"Domestic Fish Consumption","Dimension_Value","Mali"
"Domestic Fish Consumption","Dimension_Value","Lakeba"
"Domestic Fish Consumption","Dimension_Value","LOCAL: Reef fish (trevally, parrot, emperor, snapper, surgeon etc.;  fresh or frozen)"
"Domestic Fish Consumption","Dimension_Value","LOCAL: Pelagic fish and bottom fish (tuna, wahoo, mahi mahi, shark, snapper etc.; locally produced caught)"
"Domestic Fish Consumption","Dimension_Value","LOCAL: Other seafood (e.g. dried or smoked fish; locally produced)"
"Domestic Fish Consumption","Dimension_Value","LOCAL: Invertebrates (crabs, octopus, clams etc.; locally produced)"
"Domestic Fish Consumption","Dimension_Value","IMPORTED: Canned/tinned fish (tuna, mackerel, sardine etc.; imported)"
"Domestic Fish Consumption","Dimension_Value","IMPORTED: Frozen seafood (frozen fish, frozen seafood; produced overseas)"
"Domestic Fish Consumption","Dimension_Value","Pelagic fish"
"Domestic Fish Consumption","Dimension_Value","Reef fish"
"Domestic Fish Consumption","Dimension_Value","Canned fish"
"Domestic Fish Consumption","Dimension_Value","Shellfish"
"Domestic Fish Consumption","Dimension_Value","Mixed fresh/frozen fish"
"Domestic Fish Consumption","Dimension_Value","Other fish"
"Domestic Fish Consumption","Dimension_Value","Lagoon fish"
"Domestic Fish Consumption","Dimension_Value","Shrimp"
"Domestic Fish Consumption","Dimension_Value","Coconut crab"
"Domestic Fish Consumption","Dimension_Value","Mussels"
"Domestic Fish Consumption","Dimension_Value","Tuna (fresh, frozen)"
"Domestic Fish Consumption","Dimension_Value","Preparations of fish"
"Domestic Fish Consumption","Dimension_Value","Trochus"
"Domestic Fish Consumption","Dimension_Value","Lobster"
"Domestic Fish Consumption","Dimension_Value","Marine crabs"
"Domestic Fish Consumption","Dimension_Value","Cooked mussels"
"Domestic Fish Consumption","Metric","Fresh fish consumption "
"Domestic Fish Consumption","Metric","Invertebrate consumption"
"Domestic Fish Consumption","Metric","Canned fish consumption"
"Domestic Fish Consumption","Metric","Number of households reported eating the fish"
"Domestic Fish Consumption","Metric","National"
"Domestic Fish Consumption","Metric","Rural"
"Domestic Fish Consumption","Metric","Urban"
"Domestic Fish Consumption","Metric","Local"
"Domestic Fish Consumption","Metric","Imported"
"Domestic Fish Consumption","Year","2021"
"Domestic Fish Consumption","Unit","Kgs per capital per annum"
"Domestic Fish Consumption","Unit","Number of Households"
"Domestic Fish Consumption","Unit","Mean daily grams per capita"
"Domestic Fish Consumption","Unit","Percentage of households that reported consuming"
"Estimates by the Benefish studies of annual fisheries harvests","Harvest_Sector","Coastal commercial"
"Estimates by the Benefish studies of annual fisheries harvests","Harvest_Sector","Coastal subsistence"
"Estimates by the Benefish studies of annual fisheries harvests","Harvest_Sector","Offshore locally based"
"Estimates by the Benefish studies of annual fisheries harvests","Harvest_Sector","Offshore foreign-based"
"Estimates by the Benefish studies of annual fisheries harvests","Harvest_Sector","Freshwater"
"Estimates by the Benefish studies of annual fisheries harvests","Harvest_Sector","Aquaculture"
"Estimates by the Benefish studies of annual fisheries harvests","Harvest_Sector","Coastal  subsistence"
"Estimates by the Benefish studies of annual fisheries harvests","Harvest_Sector","Purse seine volume"
"Estimates by the Benefish studies of annual fisheries harvests","Harvest_Sector","Longline volume corrected for bycatch"
"Estimates by the Benefish studies of annual fisheries harvests","Harvest_Sector","Pole and line volume"
"Estimates by the Benefish studies of annual fisheries harvests","Harvest_Sector","Trolling volume"
"Estimates by the Benefish studies of annual fisheries harvests","Harvest_Sector","Other gear volume"
"Estimates by the Benefish studies of annual fisheries harvests","Year","2007"
"Estimates by the Benefish studies of annual fisheries harvests","Year","2014"
"Estimates by the Benefish studies of annual fisheries harvests","Year","2021"
"Estimates by the Benefish studies of annual fisheries harvests","Year","1999"
"Estimates by the Benefish studies of annual fisheries harvests","Year","2018"
"Estimates by the Benefish studies of annual fisheries harvests","Year","2019"
"Estimates by the Benefish studies of annual fisheries harvests","Year","2020"
"Estimates by the Benefish studies of annual fisheries harvests","Unit","Tonnes"
"Estimates by the Benefish studies of annual fisheries harvests","Unit","US$"
"Estimates by the Benefish studies of annual fisheries harvests","Unit","NZ$"
"Estimates by the Benefish studies of annual fisheries harvests","Unit","Pieces"
"Estimates by the Benefish studies of annual fisheries harvests","Unit","F$"
"Estimates by the Benefish studies of annual fisheries harvests","Unit","XPF"
"Estimates by the Benefish studies of annual fisheries harvests","Unit","A$"
